Age;BMI;TFlight;Height;Power;2Axel
8;14.6484375;395;19.1;29.14;0
11;15.22191956;375;17.2;25.43;1
14;16.10587865;438;23.5;28.83;0
10;24.03846154;388;18.5;20.6;0
11;14.38542277;422;21.8;32.56;0
11;14.38542277;426;22.2;26.83;0
10;24.03846154;0.4;19.6;19.16;0
10;24.03846154;408;20.4;19.16;0
11;18.26150475;411;20.7;26.87;0
11;14.38542277;396;19.2;13.14;0
10;13.45686041;329;13.3;18.11;0
8;14.6484375;409;20.5;29.17;0
12;17.33333333;441;23.8;27.12;1
9;17.82134106;379;17.6;19.39;0
11;14.38542277;317;12.3;18.5;0
14;16.10587865;0.46;25.9;12.52;0
10;17.35785326;373;17.1;23.26;0
10;17.35785326;416;21.2;29.44;0
14;16.10587865;459;25.8;26.96;0
12;17.33333333;468;26.8;28.13;1
11;14.38542277;372;17;25.66;0
10;13.45686041;354;15.4;20.42;0
9;17.82134106;441;23.8;20.36;0
10;13.45686041;303;11.3;15.11;0
9;17.82134106;405;20.1;12.31;0
11;18.26150475;444;24.2;29.33;0
12;17.33333333;434;23.1;21.9;1
9;17.82134106;444;24.2;24.06;0
10;24.03846154;374;17.1;18.39;0
14;16.10587865;447;24.5;27.6;0
11;16.86173378;372;17;19.15;1
10;13.45686041;339;14.1;19.86;0
11;18.26150475;423;21.9;25.48;0
11;15.22191956;411;20.7;32.32;1
12;17.33333333;469;27;27.8;1
8;14.6484375;364;16.2;22.36;0
9;17.82134106;391;18.7;12.36;0
12;17.33333333;448;24.6;19.79;1
10;17.35785326;381;17.8;25.02;0
14;16.10587865;458;25.7;28.28;0
12;17.33333333;447;24.5;24.55;1
15;18.36734694;0.39;18.6;29.14;0
8;14.6484375;356;15.5;23.87;0
9;17.82134106;405;20.1;11.97;0
11;14.38542277;399;19.5;14.03;0
10;24.03846154;409;20.5;19.71;0
10;24.03846154;412;20.8;22.42;0
8;14.6484375;389;18.5;24.08;0
11;14.38542277;375;17.2;26.62;0
14;16.10587865;457;25.6;28.98;0
9;17.82134106;419;21.5;14.03;0
15;18.36734694;342;14.3;9.69;0
11;18.26150475;0.42;21.6;24.98;0
11;18.26150475;419;21.5;25.53;0
9;17.82134106;431;22.8;21.7;0
11;16.86173378;393;18.9;18.19;1
9;17.82134106;404;20;10.52;0
15;18.36734694;412;20.8;27.35;0
11;18.26150475;0.41;20.6;24.94;0
11;16.86173378;366;16.4;16.95;1
11;15.22191956;398;19.4;27.79;1
10;24.03846154;393;18.9;22.95;0
15;18.36734694;0.36;15.9;24.8;0
10;17.35785326;387;18.4;24.56;0
11;14.38542277;307;11.6;16.59;0
11;15.22191956;312;11.9;8.51;1
11;15.22191956;396;19.2;27.47;1
11;16.86173378;345;14.6;16.4;1
11;15.22191956;331;13.4;10.19;1
14;16.10587865;494;29.9;30.74;0
9;17.82134106;451;24.9;24.2;0
10;13.45686041;369;16.7;21.09;0
10;17.35785326;377;17.4;24.81;0
8;14.6484375;391;18.7;27.51;0
10;13.45686041;365;16.3;21.24;0
15;18.36734694;331;13.4;8.52;0
12;17.33333333;443;24.1;19.71;1
11;14.38542277;367;16.5;21.57;0
11;15.22191956;431;22.8;33.87;1
10;24.03846154;433;23;24.28;0
8;14.6484375;0.39;18.6;26;0
9;17.82134106;415;21.1;22.84;0
11;18.26150475;423;21.9;27.8;0
10;24.03846154;408;20.4;18.4;0
8;14.6484375;365;16.3;24.87;0
11;14.38542277;452;25;40.1;0
9;17.82134106;0.45;24.8;20.77;0
12;17.33333333;427;22.4;18.07;1
9;17.82134106;394;19;13.63;0
11;16.86173378;0.4;19.6;11.44;1
14;16.10587865;476;27.8;28.85;0
10;13.45686041;333;13.6;18.1;0
11;15.22191956;343;14.4;10.78;1
9;17.82134106;398;19.4;14.58;0
10;24.03846154;433;23;13.28;0
11;15.22191956;422;21.8;28.44;1
11;14.38542277;421;21.7;28.41;0
11;15.22191956;392;18.8;26.37;1
8;14.6484375;349;14.9;22.96;0
10;17.35785326;368;16.6;25.05;0
10;13.45686041;421;21.7;12.86;0
9;17.82134106;411;20.7;13.23;0
10;13.45686041;434;23.1;12.89;0
11;14.38542277;372;17;25.58;0
10;17.35785326;394;19;26.99;0
10;13.45686041;397;19.3;24.12;0
11;15.22191956;404;20;30.92;1
11;15.22191956;417;21.3;30.32;1
11;15.22191956;385;18.2;26.99;1
11;16.86173378;0.37;16.8;18.75;1
12;17.33333333;435;23.2;11.2;1
12;17.33333333;463;26.3;26.25;1
14;16.10587865;0.44;23.7;26.97;0
10;24.03846154;433;23;24.81;0
9;17.82134106;463;26.3;26.2;0
8;14.6484375;0.37;16.8;10.59;0
10;24.03846154;414;21;19.98;0
9;17.82134106;428;22.5;14.15;0
10;13.45686041;427;22.4;25.65;0
12;17.33333333;486;29;24.25;1
8;14.6484375;367;16.5;24.47;0
10;24.03846154;408;20.4;24.15;0
14;16.10587865;447;24.5;15.07;0
9;17.82134106;421;21.7;13.52;0
10;17.35785326;423;21.9;24.23;0
14;16.10587865;444;24.2;28.16;0
8;14.6484375;368;16.6;23.19;0
14;16.10587865;459;25.8;29.26;0
10;17.35785326;367;16.5;24.17;0
10;17.35785326;377;17.4;12.77;0
8;14.6484375;0.37;16.8;26.59;0
11;18.26150475;0.4;19.6;24.13;0
11;16.86173378;421;21.7;11.75;1
11;14.38542277;376;17.3;21.87;0
10;17.35785326;384;18.1;26.11;0
11;18.26150475;415;21.1;27.98;0
10;24.03846154;418;21.4;23.01;0
12;17.33333333;439;23.6;11.53;1
9;17.82134106;418;21.4;14.86;0
9;17.82134106;406;20.2;25.36;0
11;18.26150475;362;16.1;19.88;0
8;14.6484375;302;11.2;17.96;0
8;14.6484375;346;14.7;21.77;0
15;18.36734694;432;22.9;32.82;0
15;18.36734694;431;22.8;29.7;0
15;18.36734694;406;20.2;31.3;0
11;15.22191956;0.4;19.6;28.2;1
11;16.86173378;395;19.1;17.67;1
10;24.03846154;444;24.2;21.11;0
9;17.82134106;451;24.9;13.68;0
11;16.86173378;368;16.6;17.65;1
11;18.26150475;0.41;20.6;27.28;0
8;14.6484375;372;17;25.02;0
11;18.26150475;402;19.8;25.14;0
11;15.22191956;373;17.1;24.45;1
11;14.38542277;394;19;28.61;0
10;13.45686041;401;19.7;11.74;0
9;17.82134106;415;21.1;11.38;0
14;16.10587865;457;25.6;12.33;0
11;14.38542277;393;18.9;15.86;0
15;18.36734694;329;13.3;18.28;0
11;14.38542277;364;16.2;9.92;0
9;17.82134106;397;19.3;13.12;0
10;24.03846154;486;29;14.02;0
11;15.22191956;347;14.8;10.45;1
8;14.6484375;383;18;27.2;0
14;16.10587865;437;23.4;26.07;0
14;16.10587865;478;28;29.04;0
9;17.82134106;411;20.7;14.17;0
9;17.82134106;446;24.4;12.36;0
10;17.35785326;375;17.2;23.65;0
15;18.36734694;415;21.1;31.32;0
11;15.22191956;376;17.3;24.7;1
10;13.45686041;392;18.8;10.71;0
11;16.86173378;357;15.6;16.13;1
11;15.22191956;369;16.7;24.03;1
11;16.86173378;414;21;20.1;1
12;17.33333333;0.47;27.1;22.72;1
11;14.38542277;364;16.2;12.9;0
10;24.03846154;429;22.6;22.24;0
9;17.82134106;406;20.2;10.93;0
14;16.10587865;477;27.9;29.23;0
14;16.10587865;445;24.3;28.27;0
11;16.86173378;355;15.4;18.4;1
9;17.82134106;397;19.3;11.87;0
10;17.35785326;362;16.1;22.11;0
11;14.38542277;396;19.2;28.18;0
11;15.22191956;367;16.5;11.35;1
8;14.6484375;0.37;16.8;18.27;0
15;18.36734694;438;23.5;33.14;0
10;17.35785326;411;20.7;27.85;0
11;16.86173378;356;15.5;11.05;1
12;17.33333333;441;23.8;19.68;1
10;17.35785326;406;20.2;28.19;0
11;15.22191956;421;21.7;30.51;1
15;18.36734694;437;23.4;32.69;0
10;24.03846154;359;15.8;15.8;0
11;18.26150475;435;23.2;27.96;0
11;18.26150475;449;24.7;13.44;0
11;14.38542277;374;17.1;26.33;0
8;14.6484375;398;19.4;28.61;0
8;14.6484375;334;13.7;18.98;0
11;14.38542277;441;23.8;35.34;0
15;18.36734694;384;18.1;26.03;0
15;18.36734694;0.44;23.7;34.95;0
10;17.35785326;396;19.2;25.04;0
11;15.22191956;322;12.7;14.46;1
9;17.82134106;468;26.8;25.18;0
8;14.6484375;394;19;26.36;0
11;15.22191956;0.41;20.6;30.58;1
10;17.35785326;407;20.3;25.65;0
11;18.26150475;405;20.1;24.56;0
15;18.36734694;418;21.4;28.8;0
11;18.26150475;419;21.5;26.96;0
15;18.36734694;389;18.5;29.56;0
10;13.45686041;334;13.7;18.51;0
9;17.82134106;434;23.1;20.82;0
9;17.82134106;397;19.3;12.83;0
10;24.03846154;397;19.3;18.14;0
12;17.33333333;492;29.7;25.39;1
11;15.22191956;369;16.7;25.24;1
11;15.22191956;389;18.5;29.68;1
11;14.38542277;435;23.2;36.6;0
11;16.86173378;372;17;19.71;1
15;18.36734694;416;21.2;33.24;0
10;13.45686041;418;21.4;24.53;0
10;13.45686041;357;15.6;20.06;0
11;18.26150475;426;22.2;25.88;0
9;17.82134106;386;18.3;11.24;0
9;17.82134106;451;24.9;26.27;0
10;17.35785326;374;17.1;25.08;0
11;14.38542277;378;17.5;26.18;0
11;15.22191956;0.39;18.6;26.38;1
11;14.38542277;399;19.5;23.36;0
11;15.22191956;369;16.7;24.84;1
11;14.38542277;373;17.1;25.45;0
10;13.45686041;355;15.4;20.65;0
12;17.33333333;439;23.6;22.81;1
15;18.36734694;418;21.4;31.59;0
10;24.03846154;479;28.1;14.09;0
9;17.82134106;421;21.7;19.41;0
9;17.82134106;372;17;10.23;0
15;18.36734694;409;20.5;30.78;0
11;16.86173378;383;18;17.73;1
14;16.10587865;461;26.1;28.52;0
11;14.38542277;392;18.8;25.35;0
8;14.6484375;364;16.2;24.52;0
11;15.22191956;373;17.1;23.9;1
10;24.03846154;427;22.4;20.44;0
10;13.45686041;361;16;20.03;0
14;16.10587865;478;28;13.14;0
11;15.22191956;0.37;16.8;24.87;1
14;16.10587865;428;22.5;23.56;0
8;14.6484375;374;17.1;26.69;0
11;16.86173378;367;16.5;17.84;1
10;13.45686041;357;15.6;20.37;0
10;24.03846154;392;18.8;21.04;0
11;16.86173378;418;21.4;13.28;1
10;17.35785326;406;20.2;11.53;0
11;14.38542277;407;20.3;27.25;0
11;15.22191956;401;19.7;27.71;1
10;13.45686041;406;20.2;23.57;0
11;18.26150475;388;18.5;23.81;0
11;18.26150475;396;19.2;25.7;0
9;17.82134106;449;24.7;21.47;0
15;18.36734694;386;18.3;27.56;0
8;14.6484375;386;18.3;20.07;0
10;24.03846154;389;18.5;17.72;0
10;13.45686041;0.38;17.7;23.02;0
9;17.82134106;408;20.4;14.02;0
10;13.45686041;403;19.9;23.44;0
11;18.26150475;415;21.1;23.97;0
15;18.36734694;416;21.2;27.19;0
12;17.33333333;462;26.2;12.8;1
10;13.45686041;451;24.9;19.06;0
10;24.03846154;434;23.1;20.84;0
9;17.82134106;405;20.1;13.96;0
11;18.26150475;436;23.3;27.28;0
11;18.26150475;394;19;24.71;0
10;17.35785326;408;20.4;13.59;0
11;15.22191956;383;18;28.07;1
10;17.35785326;374;17.1;27.37;0
10;17.35785326;401;19.7;26.67;0
15;18.36734694;348;14.8;23.3;0
11;14.38542277;423;21.9;25.64;0
8;14.6484375;0.38;17.7;27.22;0
10;17.35785326;392;18.8;24.63;0
11;18.26150475;457;25.6;14.36;0
10;17.35785326;428;22.5;30.97;0
10;17.35785326;386;18.3;30.35;0
9;17.82134106;257;8.1;15.05;0
10;24.03846154;425;22.1;26.36;0
15;18.36734694;427;22.4;28.84;0
11;18.26150475;441;23.8;14.78;0
14;16.10587865;424;22;26.08;0
10;17.35785326;379;17.6;26.47;0
15;18.36734694;361;16;23.82;0
11;18.26150475;411;20.7;11.85;0
15;18.36734694;354;15.4;25.25;0
10;13.45686041;347;14.8;18.61;0
10;17.35785326;374;17.1;25.08;0
8;14.6484375;391;18.7;24.84;0
12;17.33333333;433;23;18.39;1
11;18.26150475;475;27.7;22.33;0
10;24.03846154;418;21.4;20.27;0
15;18.36734694;402;19.8;31.49;0
14;16.10587865;474;27.5;14.2;0
14;16.10587865;467;26.7;27.72;0
15;18.36734694;454;25.3;33.44;0
10;24.03846154;416;21.2;23.6;0
12;17.33333333;0.44;23.7;23.06;1
10;17.35785326;384;18.1;26.7;0
15;18.36734694;414;21;26.31;0
15;18.36734694;418;21.4;28.08;0
15;18.36734694;0.41;20.6;28.74;0
8;14.6484375;0.37;16.8;26.4;0
11;15.22191956;422;21.8;30.63;1
11;15.22191956;419;21.5;33.79;1
14;16.10587865;464;26.4;30.84;0
15;18.36734694;347;14.8;19.27;0
10;13.45686041;397;19.3;23.37;0
12;17.33333333;469;27;26.56;1
11;18.26150475;435;23.2;30.24;0
14;16.10587865;466;26.6;29.39;0
10;17.35785326;381;17.8;24.95;0
10;17.35785326;355;15.4;9.13;0
10;17.35785326;364;16.2;9.47;0
11;14.38542277;412;20.8;32.21;0
11;18.26150475;437;23.4;27.02;0
10;17.35785326;377;17.4;23.6;0
11;14.38542277;383;18;12.17;0
14;16.10587865;428;22.5;26.97;0
10;17.35785326;396;19.2;23.64;0
8;14.6484375;382;17.9;24.18;0
8;14.6484375;355;15.4;25.75;0
9;17.82134106;406;20.2;19.24;0
11;16.86173378;415;21.1;19.14;1
15;18.36734694;355;15.4;8.92;0
10;17.35785326;414;21;27.12;0
12;17.33333333;426;22.2;11.06;1
12;17.33333333;465;26.5;22.68;1
10;13.45686041;363;16.2;22.44;0
15;18.36734694;407;20.3;33.21;0
10;13.45686041;429;22.6;13.04;0
12;17.33333333;0.46;25.9;12.29;1
11;15.22191956;424;22;32.13;1
11;15.22191956;414;21;32.11;1
9;17.82134106;396;19.2;11.08;0
11;16.86173378;352;15.2;11.1;1
10;24.03846154;357;15.6;15.23;0
11;16.86173378;0.41;20.6;12.81;1
15;18.36734694;372;17;10.3;0
10;13.45686041;367;16.5;11.05;0
8;14.6484375;388;18.5;26.65;0
11;15.22191956;424;22;30.87;1
8;14.6484375;0.39;18.6;27.3;0
12;17.33333333;434;23.1;22.14;1
8;14.6484375;347;14.8;21.68;0
11;15.22191956;385;18.2;27.25;1
15;18.36734694;312;11.9;16.37;0
15;18.36734694;322;12.7;9.96;0
10;24.03846154;436;23.3;23.88;0
12;17.33333333;447;24.5;19.51;1
9;17.82134106;0.37;16.8;23.52;0
10;13.45686041;343;14.4;19.34;0
10;24.03846154;403;19.9;23.06;0
14;16.10587865;438;23.5;24.18;0
11;16.86173378;392;18.8;11.05;1
15;18.36734694;339;14.1;20.82;0
11;16.86173378;377;17.4;16.33;1
11;18.26150475;491;29.6;24.06;0
10;13.45686041;397;19.3;24.76;0
11;15.22191956;378;17.5;26.89;1
11;16.86173378;374;17.1;17.42;1
12;17.33333333;489;29.3;26.42;1
11;14.38542277;369;16.7;24.61;0
11;16.86173378;0.38;17.7;17.34;1
11;18.26150475;435;23.2;27.43;0
11;16.86173378;405;20.1;12.8;1
9;17.82134106;454;25.3;27;0
11;18.26150475;403;19.9;25.12;0
11;15.22191956;0.42;21.6;31.74;1
10;13.45686041;308;11.6;15.73;0
14;16.10587865;463;26.3;27.44;0
11;14.38542277;434;23.1;36.02;0
8;14.6484375;376;17.3;10.73;0
8;14.6484375;0.37;16.8;25.03;0
15;18.36734694;413;20.9;32.84;0
11;18.26150475;424;22;26.75;0
11;15.22191956;394;19;28.71;1
11;18.26150475;415;21.1;26.61;0
14;16.10587865;477;27.9;29.89;0
10;17.35785326;398;19.4;26.72;0
9;17.82134106;422;21.8;20.39;0
11;16.86173378;379;17.6;11.67;1
12;17.33333333;473;27.4;12.87;1
8;14.6484375;362;16.1;10.11;0
11;15.22191956;436;23.3;33.92;1
10;17.35785326;356;15.5;9.28;0
10;17.35785326;0.39;18.6;24.81;0
15;18.36734694;428;22.5;33.35;0
9;17.82134106;427;22.4;25.65;0
12;17.33333333;446;24.4;11.51;1
15;18.36734694;419;21.5;31.28;0
10;24.03846154;233;6.7;41.86;0
8;14.6484375;384;18.1;10.82;0
10;13.45686041;355;15.4;21.48;0
10;24.03846154;403;19.9;22.12;0
15;18.36734694;365;16.3;9.98;0
11;15.22191956;372;17;25.92;1
12;17.33333333;449;24.7;25.01;1
11;14.38542277;319;12.5;18.12;0
11;14.38542277;436;23.3;34.54;0
9;17.82134106;403;19.9;13.58;0
11;15.22191956;434;23.1;33.78;1
8;14.6484375;375;17.2;22.43;0
14;16.10587865;459;25.8;15.15;0
11;15.22191956;384;18.1;27.32;1
15;18.36734694;398;19.4;24.62;0
9;17.82134106;406;20.2;21.15;0
9;17.82134106;413;20.9;22.55;0
9;17.82134106;397;19.3;19.68;0
8;14.6484375;369;16.7;25.57;0
10;13.45686041;327;13.1;17.94;0
8;14.6484375;643;50.7;43.15;0
15;18.36734694;381;17.8;24.27;0
12;17.33333333;0.47;27.1;29.3;1
10;24.03846154;417;21.3;20.58;0
14;16.10587865;472;27.3;28.41;0
10;17.35785326;329;13.3;19.37;0
11;16.86173378;0.38;17.7;18.78;1
11;14.38542277;427;22.4;32.98;0
9;17.82134106;412;20.8;18.34;0
11;16.86173378;397;19.3;10.53;1
11;14.38542277;421;21.7;34.75;0
11;14.38542277;391;18.7;16.06;0
11;15.22191956;432;22.9;35.31;1
10;24.03846154;427;22.4;21.28;0
10;17.35785326;402;19.8;24.49;0
8;14.6484375;381;17.8;25.54;0
8;14.6484375;392;18.8;26.93;0
11;14.38542277;371;16.9;26.71;0
10;13.45686041;353;15.3;19.3;0
9;17.82134106;474;27.5;28.44;0
10;17.35785326;0.39;18.6;26.96;0
15;18.36734694;366;16.4;10.19;0
10;13.45686041;363;16.2;21.01;0
10;13.45686041;342;14.3;19.29;0
11;16.86173378;418;21.4;11.52;1
10;13.45686041;359;15.8;19.86;0
11;16.86173378;0.37;16.8;16.96;1
9;17.82134106;428;22.5;29.11;0
11;14.38542277;423;21.9;34.75;0
8;14.6484375;0.41;20.6;26.63;0
9;17.82134106;393;18.9;10.54;0
8;14.6484375;351;15.1;20.24;0
11;15.22191956;382;17.9;27.08;1
12;17.33333333;449;24.7;13.92;1
8;14.6484375;375;17.2;25.35;0
10;13.45686041;345;14.6;19.74;0
8;14.6484375;396;19.2;28.66;0
8;14.6484375;0.39;18.6;27.21;0
10;17.35785326;335;13.8;20.49;0
11;18.26150475;0.41;20.6;25.83;0
12;17.33333333;459;25.8;25.8;1
10;17.35785326;437;23.4;30.64;0
10;17.35785326;393;18.9;26.03;0
9;17.82134106;437;23.4;24.21;0
